Adrm1	Q9JKV1
Fdxr	Q61578
Adissp	Q9D1K7
Slc25a4	P48962
Slc25a5	P51881
Slc25a31	Q3V132
Adtrp	Q8C138
Fdx1	P46656
Aebp1	Q640N1
Aebp2	Q9Z248
Ado	Q6PDY2
Mamdc4	A2AJA7
Aen	Q9CZI9
Mllt10	O54826
Afap1l1	Q8BZI0
Afap1l2	Q5DTU0
Mllt11	P97783
Mllt3	A2AM29
Afdn	Q9QZQ1
Afm	O89020
Afap1	Q80YS6
Aff1	O88573
Aff2	O55112
Aff3	P51827
Aff4	Q9ESC8
Afg1l	Q3V384
Afg2a	Q3UMC0
Afg2b	A0A7N9VSG0
Afg3l1	Q920A7
Afg3l2	Q8JZQ2
Aftph	Q80WT5
Alg10b	Q3UGP8
Gla	P51569
Agap1	Q8BXK8
Agap2	Q3UHD9
Agap3	Q8VHH5
Agfg1	Q8K2K6
Agfg2	Q80WC7
Aggf1	Q7TN31
Agk	Q9ESW4
Pgm3	Q9CYR6
Ago1	Q8CJG1
Ago2	Q8CJG0
Ago3	Q8CJF9
Ago4	Q8CJF8
Agr2	O88312
Agr3	Q8R3W7
Adgra1	Q8C4G9
Adgra2	Q91ZV8
Adgra3	Q7TT36
Adgrb1	Q3UHD1
Adgrb2	Q8CGM1
Adgrb3	Q80ZF8
Adgrd1	Q80T32
Adgre1	Q61549
Adgre4	Q91ZE5
Adgre5	Q9Z0M6
Adgrf1	Q8VEC3
Adgrf2	E9Q4J9
ADGRF3	Q58Y75
Adgrf4	Q9D2L6
Adgrf5	G5E8Q8
Adgrg1	Q8K209
Adgrg2	Q8CJ12
Adgrg3	Q8R0T6
Adgrg4	B7ZCC9
Adgrg5	Q3V3Z3
Adgrg6	Q6F3F9
Adgrg7	Q8BM96
Agrn	A2ASQ1
Adgrl1	Q80TR1
Adgrl2	Q8JZZ7
Adgrl3	Q80TS3
Adgrl4	Q923X1
Agrp	P56473
Adgrv1	Q8VHN7
Agxt	O35423
Agxt2	Q3UEG6
Agtr2	P35374
Agtr1a	P29754
Agtr1b	P29755
Ahdc1	Q6PAL7
Ahi1	Q8K3E5
Ahrr	Q3U1U7
Ahr	P30561
Ahsa1	Q8BK64
Ahsa2	Q8N9S3
Ahsp	Q9CY02
Aicda	Q9WVE0
Aida	Q8C4Q6
Aif1l	Q9EQX4
Aif1	O70200
Aifm1	Q9Z0X1
Aifm3	Q3TY86
Aig1	Q9D8B1
Aim2	Q91VJ1
Aimp1	P31230
Aimp2	Q8R010
Ina	P46660
Aipl1	Q924K1
Aip	O08915
Aire	Q9Z0E3
Airim	Q499E6
Ajap1	A2ALI5
Ajm1	A2AJA9
Ajuba	Q91XC0
Akap17b	A2A3V1
Akr1a1	Q9JII6
Akr1c13	Q8VC28
Akr1c21	Q91WR5
Akr1d1	Q8VCX1
Akap10	O88845
Akap12	Q9WTQ5
Akap7	Q7TN79
Akain1	G3UWD5
Akap1	O08715
Akap2	O54931
Akap3	O88987
Akap4	Q60662
Akap5	D3YVF0
Akap8	Q9DBR0
Akap9	Q70FJ1
Akr1c18	Q8K023
Akr1e2	Q9DCT1
Ankdd1b	Q14DN9
Ankib1	Q6ZPS6
Akip1	Q9JJR5
Aurkaip1	Q9DCJ7
Akirin1	Q99LF1
Akirin2	B1AXD8
Akna	Q80VW7
Akap13	E9Q394
Akap8l	Q9R0L7
Akt1	P31750
Akt2	Q60823
Akt3	Q9WUA6
Aktip	Q64362
Akt1s1	Q9D1F4
Arl14ep	Q8BIX3
Aldh1a1	P24549
Aldh1a2	Q62148
Aldh1a3	Q9JHW9
Aldh1a7	O35945
Aldh1b1	Q9CZS1
Aldh1l1	Q8R0Y6
Aldh1l2	Q8K009
Als2cl	Q60I26
Aldh3a1	P47739
Aldh3a2	P47740
Aldh3b1	Q80VQ0
Aldh3b2	E9Q3E1
Aldh3b3	J3QMK6
Aldh4a1	Q8CHT0
Alox5ap	P30355
Aldh7a1	Q9DBF1
Aldh8a1	Q8BH00
Aldh9a1	Q9JLJ2
Gpt	Q8QZR5
Gpt2	Q8BGT5
Alb	P07724
Akr1b7	P21300
Akr1b8	P45377
Aldh2	P47738
Aldoa	P05064
Aldob	Q91Y97
Aldoc	P05063
Akr1b1	P45376
Gnas	Q9Z0F1
Alg11	Q3TZM9
Alg12	Q8VDB2
Alg13	Q9D8C3
Alg14	Q9D081
Alg1	Q921Q3
Alg2	Q9DBE8
Alg3	Q8K2A8
Alg5	Q9DB25
Alg6	Q3TAE8
Alg8	Q6P8H8
Alg9	Q8VDI9
Alkbh1	P0CB42
Alkbh2	Q6P6J4
Alkbh3	Q8K1E6
Alkbh4	Q9D8F1
Alkbh5	Q3TSG4
Alkbh6	Q8K2U2
Alkbh7	Q9D6Z0
Alkbh8	Q80Y20
Alkal1	J3QPP8
Alkal2	Q80UG6
Agmo	Q8BS35
Alk	P97793
Allc	Q9JHX6
Alms1	Q8K4E0
Alox8	O35936
Alpk1	Q9CXB8
Alpk2	Q91ZB0
Alpk3	Q924C5
Alyref2	Q9JJW6
Gfer	P56213
Als2	Q920R0
Igfals	P70389
Alx1	Q8C8B0
Alx3	O70137
Alx4	O35137
Amy2a5	P00688
Amacr	O09174
Ambn	O55189
Ambp	Q07456
Pam	P97467
Amelx	P63277
Amer1	Q7TS75
Amer2	Q8CCJ4
Amer3	Q6NS69
Ammecr1l	Q8JZZ6
Amfr	Q9R049
Amigo1	Q80ZD8
Amigo2	Q80ZD9
Amigo3	Q8C2S7
Amhr2	Q8K592
Ammecr1	Q9JHT5
Amn1	B8JKV0
Amn	Q99JB7
Amotl1	Q9D4H4
Amotl2	Q8K371
Amot	Q8VHG2
Rnpep	Q8VCT3
Ampd1	Q3V1D3
Ampd2	Q9DBT5
Ampd3	O08739
Enpep	P16406
Amph	Q7TQF7
Lap3	Q9CPY7
Anpep	P97449
Aopep	Q8BXQ6
Lvrn	Q2KHK3
Ambra1	A2AH22
Lrpap1	P55302
Amtn	Q9D3J8
Amy1	P00687
Amz1	Q8BVF9
Amz2	Q400C8
Ankrd13a	Q80UP5
Ankrd13b	Q5F259
Ankrd13c	Q3UX43
Ankrd13d	Q6PD24
Anp32a	O35381
Anp32b	Q9EST5
Anp32c	Q64G17
Anp32e	P97822
Ankrd33b	Q3U0L2
Ankrd34b	Q3UUF8
Ankrd34c	Q8BLB8
Anapc2	Q8BZQ7
Zfyve19	Q9DAZ9
Ar	P19091
Nppb	P40753
Nppc	Q61839
Ankfy1	Q810B6
Nppa	P05125
Ang2	Q64438
Ang3	P97802
Ang4	Q3TMQ6
Angel1	Q8VCU0
Angel2	Q8K1C0
Ang	P21570
Angptl1	Q640P2
Angptl2	Q9R045
Angptl3	Q9R182
Angptl4	Q9Z1P8
Angptl6	Q8R0Z6
Angptl7	Q8R1Q3
Angptl8	Q8R1L8
Angpt1	O08538
Angpt2	O35608
Angpt4	Q9WVH6
Agt	P11859
Ank1	Q02357
Ank2	Q8C8R3
Ank3	G5E8K5
Ankar	A2RT91
Ankef1	Q9D2J7
Ankfn1	A0A571BF63
Ankh	Q9JHZ2
Ankk1	Q8BZ25
Ankle1	A8VU90
Ankle2	Q6P1H6
Antkmt	Q501J2
Ankrd1	Q9CR42
Ankrd2	Q9WV06
Ankrd6	Q69ZU8
Ankrd7	Q9D504
Ankrd9	Q8BH83
Anks3	Q9CZK6
Anks6	Q6GQX6
Ankub1	Q3UUE9
Ankmy2	Q3TPE9
Ankzf1	Q80UU1
Anln	Q8K298
Prmt1	Q9JIF0
Prmt2	Q9R144
Prmt3	Q922H1
Prmt5	Q8CIG8
Prmt6	Q6NZB1
Prmt7	Q922X9
Prmt8	Q6PAK3
Prmt9	Q3U3W5
Ankmy1	Q8C0W1
Ano10	Q8BH79
Ano1	Q8BHY3
Ano2	Q8CFW1
Ano3	A2AHL1
Ano4	Q8C5H1
Ano5	Q75UR0
Ano6	Q6P9J9
Ano7	Q14AT5
Ano8	Q6PB70
Ano9	P86044
Npr1	P18293
Npr2	Q6VVW5
Npr3	P70180
Ankrd10	Q99LW0
Ankrd11	E9Q4F7
Ankrd16	A2AS55
Ankrd17	Q99NH0
Ankrd22	Q9D3J5
Ankrd23	Q812A3
Ankrd24	Q80VM7
Ankrd26	Q811D2
Ankrd27	Q3UMR0
Ankrd28	Q505D1
Ankrd31	A0A140LI88
Ankrd37	Q569N2
Ankrd39	Q9D2X0
Ankrd40	Q5SUE8
Ankrd42	Q3V096
Ankrd44	B2RXR6
Ankrd45	Q810N6
Ankrd46	Q8BTZ5
Ankrd49	Q8VE42
Ankrd52	Q8BTI7
Ankrd53	Q3V0J4
Ankrd54	Q91WK7
Ankrd55	Q8BLD6
Ankrd61	Q9CQM6
Ankrd63	A2ARS0
Ankra2	Q99PE2
Kap	P61110
Anks1a	P59672
Anks1b	Q8BIZ1
Anks4b	Q8K3X6
Serpinc1	P32261
Antxr1	Q9CZ52
Antxr2	Q6DFX2
Antxrl	Q8BVM2
Anxa10	Q9QZ10
Anxa11	P97384
Anxa13	Q99JG3
Anxa1	P10107
Anxa2	P07356
Anxa3	O35639
Anxa4	P97429
Anxa5	P48036
Anxa6	P14824
Anxa7	Q07076
Anxa8	O35640
Anxa9	Q9JHQ0
Aoah	O35298
Aoc1	Q8JZQ5
Aoc2	Q812C9
Aoc3	O70423
Maoa	Q64133
Maob	Q8BW75
Aox1	O54754
Aox2	Q5SGK3
Aox3	G3X982
Aox4	Q3TYQ9
Snap91	Q61548
Ap1b1	O35643
Ap1g1	P22892
Ap1g2	O88512
Ap1m1	P35585
Ap1m2	Q9WVP1
Ap1s1	P61967
Ap1s2	Q9DB50
Ap1s3	Q7TN05
Ap2a1	P17426
Ap2a2	P17427
Tfap2a	P34056
Ap2b1	Q9DBG3
Tfap2b	Q61313
Tfap2c	Q61312
Tfap2d	Q91ZK0
Tfap2e	Q6VUP9
Ap2m1	P84091
Ap2s1	P62743
Ap3b1	Q9Z1T1
Ap3b2	Q9JME5
Ap3d1	O54774
Ap3m1	Q9JKC8
Ap3m2	Q8R2R9
Ap3s1	Q9DCR2
Ap3s2	Q8BSZ2
Tepsin	Q3U3N6
Nudt2	P56380
Ap4b1	Q9WV76
Ap4e1	Q80V94
Ap4m1	Q9JKC7
Ap4s1	Q9WVL1
Ap5b1	Q3TAP4
Ap5m1	Q8BJ63
Ap5s1	Q9D742
Ap5z1	Q3U829
Apaf1	O88879
Apba1	B2RUJ5
Apba2	P98084
Apba3	O88888
Apbb1	Q9QXJ1
Apbb2	Q9DBR4
Apbb3	Q8R1C9
Appbp2	Q9DAX9
Anapc10	Q8K2H6
Anapc11	Q9CPX9
Anapc13	Q8R034
Anapc15	P60007
Anapc16	Q9CPV2
Anapc1	P53995
Anapc4	Q91W96
Anapc5	Q8BTZ4
Anapc7	Q9WVM3
Apcdd1	Q3U128
Apc2	Q9Z1K7
Apc	Q61315
Apln	Q9R0R4
Apex1	P28352
Apex2	Q68G58
Aph1a	Q8BVF7
Aph1b	Q8C7N7
Aph1c	Q9DCZ9
Api5	O35841
Aplnr	Q9WV08
Aplf	Q9D842
Aplp1	Q03157
Aplp2	Q06335
Apmap	Q9D7N9
Apoa1	Q00623
Apoa2	P09813
Apoa4	P06728
Apoa5	Q8C7G5
Apobr	Q8VBT6
Apob	E9Q414
Apoc1	P34928
Apoc2	Q05020
Apoc3	P33622
Apoc4	Q61268
Apod	P51910
Apoe	P08226
Apof	Q91V80
Apoh	Q01339
Apom	Q9Z1R3
Asprv1	Q09PK2
Pmaip1	Q9JM54
Aptx	Q7TQC5
Aprt	P08030
Aqp11	Q8BHH1
Aqp12	Q8CHJ2
Aqp1	Q02013
Aqp2	P56402
Aqp3	Q8R2N1
Aqp4	P55088
Aqp5	Q9WTY4
Aqp6	Q8C4A0
Aqp7	O54794
Aqp8	P56404
Aqp9	Q9JJJ3
Aqr	Q8CFQ3
Arl13a	Q9D416
Arl13b	Q640N2
Arl2bp	Q9D385
Arl6ip1	Q9JKW0
Arl6ip4	Q9JM93
Arl6ip6	Q8BH07
Araf	P04627
Atraid	Q6PGD0
Arap1	Q4LDD4
Arap2	Q8BZ05
Arap3	Q8R5G7
Grk2	Q99MK8
Adrbk2	Q3UYH7
Arpc1a	Q9R0Q6
Arpc1b	Q9WV32
Zbtb8os	Q505B7
Arc	Q9WV31
Areg	P31955
Arel1	Q8CHG5
Arf1	P84078
Arf2	Q8BSL7
Arf3	P61205
Arf4	P61750
Arf5	P84084
