Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5,luminal protein so estrus,luminal protein so 0.5,luminal protein so 1.5,luminal protein so 2.5
Q9DBJ1,135207780.8,122533048.5,161580134.6,213273485.2,176737943.9,200095748.5,256401608.5,162729777.7
B2M1R6,72581713.71,48689452.43,80178058.84,107402704.5,78911602.33,84763710.25,111032844.8,75655399.41
Q9CPY7,41205591.18,29440108.98,55042639.39,60181162.77,54340115.56,47928900.11,74055742.55,60495378.25
Q501J6,21058566.95,17382946.46,31136063.95,43368234.06,16258238.59,18583450.44,33579209.81,35361621.31
O35639,43773100.27,20596440.85,58094413.42,61233899.2,46315158.42,38753520.98,61978558.38,54143957
P56399,159396079.6,70849961.8,232312196.8,406403037.9,154529953.1,182888139.5,308328875.9,355446931.6
P10107,116740951.1,69145057.98,154408164.5,202531877.9,146469073.6,128803144,192869762.7,153345654
Q9DCD0,142307262.7,65825047.81,141059688.2,335229908.8,107797082.5,153523042.7,257800807.5,308302771.7
Q9D8E6,37502895.3,14513132.34,34892486.88,58454578.33,48380271.16,36363839.72,63992379.67,44544365.95
E9QA15,19284867,5993153.596,22504466.1,46500253.95,16455546.2,11534876.34,38181740.44,26353802.41
Q64737,18287321.41,11889719.93,20457945.2,40626620.2,18923261.24,26773832,33763842.52,29998440.45
P29341,33186089.61,15514627.93,36316386.72,51568137.06,39550446.52,33556338.63,51825343.36,31701661.81
Q9QZE5,16380156.73,7458949.555,18258837.68,27222775.38,23517031.58,16807676.3,30314370.41,23133445.98
Q5SUR0,25565397.38,13199341.44,36617191.54,58685139.09,34277060.29,39069363.66,59091555.72,56824251.57
P01029,62325074.5,35564423.98,105477376.1,144546179.7,39985224.16,96711096.83,142052767.5,120387112.2
P70441,35366891.16,20516807.77,70700387.54,62842501.27,69070084.22,40202651.25,54292811.78,55860620.91
Q99JY9,54682524.77,27459839.84,63199062.7,95082099.09,58907644.4,53931854.92,85495429.8,72457910.61
O89020,30659795.22,18201701.13,44194735.36,64428417.34,42877977.66,54564716.22,69615230.39,69610109.56
Q9Z1Z0,15425986.3,7340170.922,17848445.51,27487479.05,21171538.16,15717251.03,31000269.66,25621873.66
Q9CWK8,35870433.02,14363154.45,34737161.81,50227118.28,41219757.98,27968600.92,51319153.13,41342641.06
Q61699,13062534.2,4985232.811,20864112.9,33357526.63,18545392.69,15745675.27,28870148.3,25984240.59
P10605,32735807.72,53198845.13,31081440.83,34698766.89,88580703.44,51646442.55,72428001.03,47195985.87
Q99KC8,23735004,11507810.99,33616198.23,42081692.49,32527938.63,29537568.81,37921370.81,36240384.78
P23953,250959847.6,124694492.7,327186600,414580514.5,279503247.8,321585915.2,544338735.3,415695887.3
P20152,11640603.96,7673133.688,17884306.77,42375502.88,15278614.61,16252810.35,31322811.67,28360842.34
P47856,12496412.64,11191752.83,21179587.33,11987372.55,16124392.13,14022428.05,20055001.91,11949744.51
Q61233,41345428.13,38267215.52,61289641.2,104091457.5,51355535.84,53001398.32,99225810.23,97198232.81
P12658,200693558.6,67157662.17,127322997.4,222249602.5,186254754,168891969.8,155152736,143643804.6
A0A087WS16,18128634.71,9572535.531,12663117.91,21409966.09,15098359.93,16119358.72,35740211.84,19101938.5
P00920,105647570.1,65072454.73,101749729.9,88672849.47,143879831.5,100313590.2,136750030.6,98334514.06
E9PWE8,37918189.7,14052745.49,42793060.32,72998760.18,40921990.77,30822909.54,64843848.68,50832312.11
Q8JZQ9,19824674.65,9464894.773,19540742.92,40031143.63,28081924.96,17009539.92,27260811.84,25723485.13
P50580,56772133.92,26725765.13,54043422.02,62710000.11,54847835.8,46432898.36,69228731.78,55587090.66
Q3U1J4,17484040.78,18415145.48,15644853.72,22642033.13,19417799.92,21876079.2,19832557.7,15633687.95
P17742,427956219.4,179695878,440810900.8,593227828,473711577,434578831,639373760.9,530496983.2
P62960,9507347.152,4965642.156,10531789.84,19301344.72,11049518.91,14529310.81,20174330.13,12681402.6
Q02257,19229343.27,5982803.797,15710552.8,43272632.59,10213995.56,14032816.87,20980170.22,42678898.14
P14211,68719999.7,23980647.08,58504665.97,94472544.06,88704607.44,51540268.91,95322397.28,79698647.06
P09405,88142990.01,36946871.72,89876587.85,113113445.7,95183506.4,81438396.41,102168736.3,71773659.23
P48722,9061191.5,3408276.625,13749270.03,29558053.88,6965862.484,6763167.367,23328004.91,20080371.58
Q11136,19708567.16,11262630.38,26159487.98,22484953.58,30099222.36,21268023.7,35505207,31143331.03
Q61696,67274257.24,29439690.93,71050756.85,92225095.53,89602433.03,68544747.73,98459085.28,65893234.19
Q8BZF8,18385461.81,4685588.98,24707994.7,42922765.77,25380533.48,14457834.63,31608593.73,25687742.59
P46471,16756656.48,7555804.414,16262067.55,21973209.59,21743015.34,15908050.3,19468420.08,14830878.05
P06745,92838562.5,61972044.98,109033115.7,132422921.9,119977465.1,122868102.3,146338650.8,112931617.4
Q8BGQ7,20287697.69,8952034.32,22006108.69,29163736.72,24935451.09,19201911.52,30109105.53,23455605.42
P50247,99186851.78,54950891.94,106832359.8,181515927,117564714.2,87907977.46,186165624.6,158414913
Q6GT24,93542211.66,71552857.64,86037328.06,116901940,94165191.95,73763578.97,108942019.8,99723433.23
Q8R146,12075248.77,5610173.066,10030957.43,14273753.47,13681159.97,12725211.98,19221230.98,11806809.76
Q8BL66,25748342.38,9103289.109,23116617.34,76017029.07,16824546.92,28214127.53,53733621.59,67945078.42
Q80T06,55818231.66,30442281.46,44485043.77,79323796.09,82254469.43,38901079.35,67432886.59,44765905.6
P80314,39100149.67,21454083.2,44526533.64,65796364.97,53435524.34,44535515.81,74140391.47,51435904.62
Q91VB8,888035983.3,499339363.9,1751276732,2519036732,1515460073,1508898340,2883409848,2689993543
P28271,38451135.12,17201430.72,34382434.7,61681704.3,49323244.03,39399662.46,62510149.26,43309883.39
P06684,8156563.344,4014799.586,10269063.93,15265650.78,14002225.46,15923303.07,21483103.1,18363109.18
P32261,86742308.63,50127370.24,104327960.2,171588970.6,104262805.5,116034084.1,177445715.9,130275329.7
P08003,46767549.64,16595010.49,41356882.25,66353928.11,61187093.97,39132381.7,69354564.03,50763110.44
P19157,143315104.3,42171212.92,177946306.2,197054196.1,144345172.6,101242063.6,173321417.5,151571486.1
O70570,17088492.07,41410391.1,21336960.48,30581439.25,24292009.13,22952272.95,40628950.63,37639681.44
Q62523,32227590.65,14853054.48,34046042.75,78918897.69,36192092.42,33270787.84,80087153.09,63138560.27
E9PYH0,6417276.109,6776073.813,5298598.133,14140883.69,23798376.59,14441140.48,12136683.64,5872968.969
P62962,132252618.9,67522761.05,151511960.6,214450414.7,194232101.6,160829650.9,218027759.2,178770651
P10518,42408531.48,17109042.51,44153085.55,70375345.44,43878213.2,42420045.02,59402541.16,66434285.29
Q8VDM4,21176179.57,8109832.422,17947736.1,33461654.09,20407884.47,14540891.19,26411937.64,17043093.4
P97447,34639474.41,23291386.23,61622938.98,102913776.7,49126525.3,48996565.91,116473568.1,100555158.5
P62908,40786258.78,18303343.38,39985275.38,51774376.85,51879883.56,42483965.03,64770352.17,42617539.2
Q9D0I9,18486389.66,8511644.672,16985739.34,19733606,17679695.74,14263445.18,22266675.5,17527504.91
Q8BG05,45127805.02,20561925.14,47678829.91,67805665.95,43584043.92,33315885.68,63488752.69,38790541.33
O88844,70937273.09,36420826.75,81996554.25,139420627.7,95951539.59,85449757.15,156397802.4,78804356.88
Q00519,27766871.98,15314903.15,46226201.14,58955053.77,48291419.66,25066978.03,49218820.97,40090892.8
P63101,192815496.6,87185887.6,200997643.4,254651378.4,193602146.9,168115826.6,253979452.5,206692094.7
Q9CZ44,16837654.09,5877503.719,16841940.62,29348838.44,18207311.34,14589366.64,31753835.58,22531971.2
P48036,278856779.2,118346333.5,285915741.8,393467762.7,300624421.2,206496309,294570681.6,331846484.7
Q60864,40656719.31,21696798.14,46130422.09,71178066.03,48196506.89,43740041.63,73215391.27,58474945.76
Q9EQK5,23945575.94,52057109.18,24379417.36,31432804.97,26972796.47,72335344.86,34868437.69,30416622.89
