,IU_1.5preg_n1,IU_1.5preg_n2,IU_1.5preg_n3,IA_1.5preg_n1,IA_1.5preg_n2,IA_1.5preg_n3
Gm7846,0.6770817440439699,0.9229716425165766,0.7660601034823535,0.6588785286451206,0.6617745125619213,0.5261744181180109
Gm9898,0.06631630195449463,0.03783778584439465,0.0,0.0,0.0,0.03441771330484361
Phf3,5.649484417781552,5.705597116632017,5.608324200324455,5.870476474240758,5.8687272201648,5.832523508743996
Ptp4a1,4.540997421275791,4.807642465355331,4.585811529611996,4.117044710450753,4.231834097243987,3.9996889106315843
4931428L18Rik,0.04975316179554384,0.1508148928387238,0.06481740615577178,0.0,0.0,0.0
Lgsn,0.0,0.0,0.021619249809095735,0.01814249757293295,0.0,0.03441771330484361
Dnaaf6,0.0,0.0,0.0,0.0,0.025395372140716552,0.01721140461998657
Khdrbs2,0.0,0.0,0.0,0.036279026976059794,0.0,0.0
Prim2,2.9736096217951675,2.842873504279588,2.9117489908663683,3.271317259356735,3.1422305670559765,3.443279819031484
1700001G17Rik,0.41900358635927376,0.36997008127190895,0.573437994212539,1.433591151650914,1.501767454792554,1.4266005038520213
Rab23,4.439821397147675,4.362706086281369,4.444472904810238,5.482175881779108,5.666895266097361,5.599550738537563
Bag2,4.510829789944078,4.282932643657778,4.411963176132008,4.8037649283863715,5.069532908576896,4.971040176827633
Zfp451,3.9673706721006003,3.9273504374530748,3.8469998149802054,4.024210370408139,3.9049587708516142,3.9216987897773876
Gm15455,0.08286129764253822,0.09447642905751569,0.08637628881490021,0.01814249757293295,0.10141845818399237,0.15429731727500193
Bend6,1.3464772851548221,0.6986869886337643,0.7156759033694847,0.10864708251009561,0.15180488899755137,0.12019615699476192
Dst,7.496103884550479,7.469509517751129,7.309159300171163,7.443392739841711,7.295531621927337,7.251951024562057
Mir5103,0.08286129764253822,0.1881224993536181,0.1078952064733929,0.14464305399061453,0.15180488899755137,0.1882214643912318
Ccdc115,3.8063171807687173,3.885505335355114,3.9766110043792144,3.5514601996046866,3.6434872987456544,3.6071636604667723
Imp4,4.096177414568709,3.988062274880329,3.9830737703981005,3.811886391145672,3.9381516607595097,3.9093542910645644
D1Ertd448e,3.5788352924673754,3.3146634948681433,3.293373472539103,3.3313728430245386,3.0905621759864728,3.2499212820958245
Ptpn18,4.154592896789845,4.017090575405006,4.136556960027591,2.7721208613553228,2.6346981468859476,2.7705086354843096
Prss39,0.0,0.018922278386907382,0.12936447898853534,0.0,0.0,0.0
Cfc1,0.38835381180830436,0.38761235590411225,0.43973069042646507,1.5791605933724586,2.085480177613337,1.8330709062412456
Prss40,0.03317637404353393,0.0,0.021619249809095735,0.16257433750265426,0.0761207724277369,0.06879474040735298
Amer3,0.32601852061085596,0.20668283171886345,0.43973069042646507,1.2080320068467,1.2217938996348285,1.593193311798896
AA619741,0.08286129764253822,0.11329790020010028,0.0,0.0725104143275882,0.10141845818399237,0.10309082593674401
Arhgef4,4.336839222257841,4.434342959370551,4.441931018045378,4.541684981857493,4.771613350753101,4.6297800592981115
Fam168b,6.281340979196481,6.184167444714963,6.175288986196376,6.09519263981671,6.119926817723378,6.116335437263589
Plekhb2,6.163962314514388,6.2651514781626245,6.258529596025952,5.8070782729821575,5.859785856804327,5.841062266970257
Hs6st1,5.886470685858244,5.887474449771117,5.929679412587397,5.930190361191037,6.032692973333203,6.052430371186263
Uggt1,5.799100530911329,5.940230469107745,5.873630590152884,5.7618932381381285,5.906068074206911,5.772120657534497
Neurl3,3.8143945646645645,3.6829696291484444,3.731755815858462,3.6236701431820304,3.6838305834262073,3.418803689699753
Arid5a,3.601705704002793,3.65009582047347,3.398311902210563,3.8206673887359894,3.6709933657826457,3.567181494002551
Kansl3,5.4560597040376395,5.436430048987363,5.450073485954503,5.655799290909434,5.629851599482614,5.622464384992263
Lman2l,5.006365856861796,4.897446772200214,5.006097459741097,5.169645116903541,5.057003626654955,5.134548050161666
Cnnm4,4.10387399393007,4.294357035357583,4.190997860205892,4.54438759595001,4.58648117369249,4.592486272772269
Cnnm3,4.582913697047439,4.530974602458157,4.487698030109712,4.814123269737447,4.75513662855627,4.6843500080268825
Ankrd23,2.3145055688182645,2.5519658231304567,2.521520728802673,2.6921891918164405,2.267297554320489,2.2298943540066323
Ankrd39,2.9268603901632364,2.8472587848989064,2.9164272600880268,2.8482743817212692,2.6127076436066448,2.806371813792442
Sema4c,4.89856923411728,4.861198431712427,4.790407716237989,4.127042479446177,3.8470671634432736,3.825925624254015
Fam178b,1.0124913714786732,0.8967495820789463,1.2374410545172136,0.6882465610542715,0.5985645385215327,1.0833990976707806
Cox5b,4.994521894049017,5.058140324020858,5.115697278477504,4.738938138771051,4.812894072456056,4.750784486790822
Actr1b,5.102455592653361,5.095681651774857,5.0968351226363415,5.0529018329943804,5.1114239498685325,5.133939634820261
4933424G06Rik,0.0,0.0,0.021619249809095735,0.05440363768600215,0.025395372140716552,0.15429731727500193
Zap70,1.6491887350313013,1.6106959376195462,1.7048480442538563,3.3183345596941525,3.4230477082590336,3.3081759189254587
Tmem131,6.029753872209488,6.006037124662656,5.89742656224922,6.126112672894833,6.0765612640517634,6.126612765631768
Vwa3b,3.5009300351503145,3.5819746449043603,3.575222121418386,5.450428318087148,5.5703219009787,5.5214400493294855
Cnga3,0.03317637404353393,0.0,0.0,0.0725104143275882,0.15180488899755137,0.13726656360149667
Inpp4a,4.604061741689541,4.416680516405409,4.3098952222802565,4.695142522030686,4.6175602224093195,4.4051777651470125
Coa5,5.274454399106317,5.208009086376288,5.171466728676575,4.933069528081229,4.875669241294554,4.93827748943359
Unc50,4.379728321726245,4.432995327346283,4.467560076816614,4.245550931338257,4.250108568032944,4.337347336465954
Mgat4a,4.411636218995242,4.481686746785339,4.257428492556177,3.598190801402864,3.31111326707733,3.345213222787521
4930594C11Rik,0.06631630195449463,0.1881224993536181,0.021619249809095735,0.036279026976059794,0.10141845818399237,0.06879474040735298
Cracdl,5.331260648443899,5.2382013835937435,5.357494157585455,6.306157231291665,6.3992235554732355,6.349679415170575
