Accession,luminal protein estrus
Q9D662,0.6837468622336776
Q9D0R2,0.8878510694492041
P11680,0.27549970909522115
Q08879,0.333072159728223
O08692,-0.4784213502240698
P97384,0.6929307629697679
O35643,0.9757183014016209
Q8C1B7,0.7419498929433674
Q8VC28,0.8540608634941523
Q640N1,0.7752816380587546
Q6GQT1,0.24136054384512598
O89053,1.0239351609877823
Q5RKN9,0.7407649178095795
Q9EQH3,0.9852976312846671
O08797,0.6907971696706814
Q62465,0.6417506323642351
Q6NZD2,0.6211519643508682
Q9JKB1,0.7593128779685053
Q8K0C9,1.7878819943319868
P63005,0.9640255719678575
Q61035,1.0471575270603808
O35350,0.7283156791106465
Q99LX0,1.5819165376284472
P48678,0.37744401567288105
P11247,0.09436852995604635
E9Q912,0.3545405731227587
Q8K3V4,0.2353192282843022
P27612,0.35424082724411304
Q9D154,1.2026934191139587
Q91YI0,0.9899993265286375
P26638,0.9843711433053375
P07309,2.221163931350176
Q9CVB6,0.9061625591941044
P46664,0.7902898477441519
Q8VCU2,0.7953338223598262
Q9DCT8,1.287576821546599
Q9DBF1,1.361832045385205
Q8C2Q7,0.7824403812395089
P34884,1.568379288809279
P14685,0.6381475394733052
P70460,0.5323298541828466
Q3UZZ6,0.7769662908601466
P08752,0.789286585551844
E9PYN9,-0.22584915847250767
Q9R0N0,0.8163764868817271
E9PVU0,0.6190026607280402
P14602,1.6448885712419357
P70663,-0.13462217800503437
P62702,0.9130820181677125
P62983,1.9783216746449328
O55137,1.1305276881383262
Q99LF4,0.9325210867686141
P09242,0.28141845287362144
Q9EPC1,1.0835495256153123
Q9CZD3,0.7578966376157087
P97372,1.1138703263038479
P42703,2.02971098460418
P29351,0.309842158391526
P97290,1.1913140689509902
Q9R0P3,1.3877079407067787
Q9Z1Z2,0.6677169910835371
P47962,1.3501829290455751
Q9JHW2,0.8051337505106748
Q9WV32,1.1785360957005435
P06801,0.2748788432711897
P24369,1.0174477257117582
P21460,-0.05937802330539369
P60122,0.2531708957228008
Q99JI4,0.8230345082377732
Q9WTM5,0.7317981251742001
O70194,0.7430384046202836
Q99MN1,0.9804064453485487
P10810,-0.5730311362208526
Q8BMJ2,0.406804766253895
A0A0R4J039,1.4854662197388262
Q8BK64,0.7176742831127151
G3V018,0.422555311385747
Q8BP47,0.8807008496796015
Q8BK67,0.4363789010519157
Q8VIJ6,0.8742402040025407
Q3UE92,0.7443162848228378
O35685,0.6278712504985515
P50516,0.9207164144199579
Q9D8W5,0.557369901953714
E9PUD2,0.17326851710092303
Q61553,0.602094684457136
Q05D44,1.3808380362390482
Q91WU5,0.3349628007515398
P41245,0.16831609526262753
Q8BVI4,1.1941874993019037
P0DP27,1.9461503857767588
A0A1W2P6F6,1.8350771774353127
Q9Z0E6,1.0497458318115167
Q99KI0,0.6635983265939617
Q7TMB8,0.6244882954186335
Q9Z0U1,0.5620673517746216
Q00915,1.178414186604334
Q9Z1Q5,1.450840054926113
Q9JKR6,0.5481850171805359
Q64471,1.2636179568350039
Q64442,0.4046948461849379
Q8R3B1,0.08504840809384681
Q3UDE2,0.3861536202834885
Q61823,0.745341713573309
P62334,0.778632876028013
P70168,0.9181022719662606
Q68FL6,0.25538161725884345
Q06890,0.7245431979122559
Q6ZWQ9,1.2930879598582306
Q3ULJ0,1.4654784289660934
Q62433,-0.017781943082530453
Q9CQT1,0.6230456395720221
Q921W7,0.4799880806467784
Q9CZC8,0.5269906856509435
P70349,1.274692470383029
P25444,1.0005874326293382
P48774,0.9149305983706744
P31230,1.1466399333216657
Q61166,1.2123490865109907
Q9QWL7,0.9330983593410139
Q00PI9,1.1668190029407433
O70475,0.3940240627781321
Q61646,0.2134314435352732
A2AN08,0.39238729340134193
P54775,1.496098383461468
Q9R111,0.6193926766924928
Q6PGH2,0.5486340174010689
P28474,1.5642232794650166
Q8QZY1,0.7242576018259114
Q7TNC4,0.5825410331176694
P99029,1.4443892294518421
O55222,0.6235547829728153
Q8BJW6,-0.3399811283021596
Q61730,0.49807307939816464
O35381,1.3773281756161393
A3KMP2,2.37075372774477
P14148,1.3253716139566376
P06281,0.05642397771306295
Q9WVK4,0.822963224784055
O35215,1.215628198192348
Q62167,1.0398537694292371
Q6P5F9,0.6444548657260423
Q9D1P4,0.35262406976480115
Q91YR1,0.8779461113197835
A0A0R4J093,1.3148234908628995
Q6AW46,-0.142863134181816
P24547,0.4885041490030082
Q9CX80,0.6653944612741697
O09061,1.1629650082884178
P47963,1.095096331324424
Q9CRB6,1.0664854001263002
Q6IFX2,1.7467940637544963
A0A0A6YXW6,-0.0722285907980157
Q9CR16,0.8517636167999837
Q61247,0.9936800808519453
P63001,1.7401174081884794
Q9QZD9,0.8700406691468769
Q8K354,0.7044796952810943
P60229,0.8510935960194059
Q924M7,0.3281762594835311
Q09098,1.1729130389915752
P04104,2.4633365566506282
Q6P069,1.1412852946972354
Q6PDM2,1.0587402186272266
Q9CZ30,0.8232754653402462
P31725,0.679164252200412
Q9CT10,0.5570592959865704
P11087,0.07498211480998455
P24472,1.7063757504094728
F8WJK8,1.500072294634659
P09528,0.9452825134509828
P35235,0.7444859077289897
A0A0G2JFY5,0.3305229934415448
Q02819,0.3854753958166051
D3YWF6,0.9210289500226964
P06797,-0.005671356176134358
Q9DCN2,1.1900169101203761
Q9DBE0,1.254895478710303
Q99J09,0.03249779588859059
P54822,0.6569956187639094
Q61704,0.32271802197085975
A0A3B2WDD2,1.1464721508194122
P61205,1.0031467256570215
A0A1W2P7A1,1.1703321112593597
Q9D8U8,1.6050691204918734
Q8C0L6,-0.3409464211939203
G5E895,0.4444735000964557
Q8VDN2,0.2840942789993022
Q9CPW4,0.9197324251965654
Q61081,0.61604913528698
F8WID5,1.4846405075331204
P07310,-0.2915739452558837
Q9JMH6,0.9783020995299933
Q9DCJ9,0.3880720113042792
Q8C845,0.9674470644818279
Q9DBB9,0.6220417583342551
O88487,0.6377939372402971
P97855,0.3283001660839953
Q8CFG9,0.4018372025197647
P63037,0.31240303684889476
Q9CXW3,0.6935099421084002
Q6P8X1,0.5923555996209637
O55234,0.7764841774051019
Q9DBG5,0.5810738583249417
P47738,0.6402233692655533
Q9DBR7,0.6933822353332648
Q8R1Q8,0.5793254070413073
P10630,0.7457174767538657
P62814,0.8137739237732997
Q9CQ60,0.974375631154207
P53810,1.0510382204142121
P61222,0.2524098197468553
P10711,0.4576081100946067
P35564,0.38454915952961716
Q60598,0.7422863624424936
Q8VCC9,0.23076697431367232
Q9WVE8,0.6869853542695139
Q8K157,1.6184618345055737
O09159,-0.37229226262097764
E9PVA8,0.3140424350216655
O88851,0.8606501819064089
Q61635,0.371243880083339
P54923,0.7592766615784018
P14152,1.9616498547294685
Q91YR9,1.07973714021336
P05784,1.5157722004529466
P70698,-0.003402065080559853
Q6DYE8,-0.6915595869401556
P17427,0.2936082017620825
Q8BWY3,0.7047928332200721
Q8CAA7,0.22423416903759474
Q3B7Z2,0.03658416371113417
Q62426,1.4393508137298827
O55131,0.060860600309995565
Q8BML9,1.1823616343882704
P26262,0.6178293217876946
P24288,1.1643312069345457
Q9WUA2,0.6402159548431154
P97298,0.96815062078276
P01898,0.2865430540330498
Q810B6,0.07047393991100367
P63028,0.5855599650779651
Q68FL4,0.9882386306176613
Q8BX70,0.5700155625796157
P14869,1.174176350853853
Q8BTZ7,0.6765358965029831
Q8BJU0,0.4502561027330107
Q9JL35,0.3130442869837922
Q9JLI8,0.1595469547803605
Q99KB8,-0.08429762318668872
Q8BUV3,0.14894423264009934
Q8K010,0.25123529247926324
A7ISP9,0.6740534046240093
P28352,0.9487221622205992
Q6NSR8,0.6374864668967904
P47911,1.309363164155108
Q8BTS3,0.42528934171836336
P26043,0.647797774175422
Q9CY64,0.5605918615308604
O70435,1.2743507008335164
P19973,0.3761867429798412
K3W4L3,0.728438970445656
O08804,0.31210618017060043
Q07456,0.5959844986003585
P08607,0.14225788852748036
Q91V41,0.46727785962901536
P35980,0.7944577972689739
Q99LD4,0.42045611132793825
P15947,-0.5156332286698649
P50404,0.622452665170521
Q9R0Y5,0.8671142685610536
P56480,0.3411961264081581
Q9DAR7,0.6043671508319152
Q3TML0,0.9472766711715075
P17710,0.04982218447774156
Q91XV3,-0.05789751763045791
O88685,0.5879155521295057
Q61074,0.490528578701805
Q80W21,0.8161916756562569
Q923D2,1.0742844157473417
P17156,0.3657687305485875
P04117,1.588626364864639
Q9CR00,0.32802591223926597
Q8C7R4,0.8637589957583248
Q9WTQ5,0.681752073824428
Q62219,0.9665148236712308
Q9R069,-0.2177889487581099
P24270,0.2892365494065523
Q8VDK1,0.18843622171590416
Q922H4,0.05926820309454521
P30681,1.2087972591152498
Q9Z2U0,1.32996610533465
Q61990,0.09268067484035701
Q9CQC6,1.1590829373011724
Q921F4,0.7332723316364842
Q9Z2N8,-0.22383928787996638
Q3TTY5,2.3305787956359842
P42227,0.42324032769231024
O88958,0.49412985290941674
Q99LB4,1.0616367222183203
P62827,1.4176382058650159
Q6P1F6,0.41711513503112285
Q6S9I3,0.30483387589037403
Q8BU85,0.05471889034733227
G3UZ26,0.4656245096139376
Q8BHG1,0.6689391296582162
Q8R050,0.9141877769564877
Q8CG76,0.637039849597994
F6ZHD8,0.4785453619404617
Q8BGD9,0.42640769207947304
O35887,-0.5975958572220581
E9Q414,1.2189326972481136
Q8BZW8,0.30316767377131265
P51885,1.4255368008002351
Q9WUM3,0.8333793770355977
Q64726,0.5403601343064498
Q99MD9,0.2103356900690168
Q4VAA2,-0.05667642901808458
Q91Z53,0.6074764146273404
P01869,0.8195770595582816
Q9WVJ2,0.7201256953014169
Q9CY58,0.8082117779215915
Q9JIF0,0.6395996075036107
Q9QUM9,1.186123691492042
Q62446,0.5021964441447138
F7CUP3,0.42414178964418436
P29788,0.5455381851619548
P70372,0.46497485727163385
A0A1L1STE4,0.30672684529132654
Q91V76,0.7046455514827183
P00493,0.4827082659207914
Q9CYR6,0.5766320073729738
Q3TW96,0.5143460596625956
Q9QXT0,0.07640486401360909
P26369,0.3343927360538477
Q9R0P9,-0.28027246980137216
G3X9Z5,-1.5169010829445753
P22599,2.1156944869999488
Q05BC3,0.5164713954406538
Q6Q899,0.36699325050895637
P34022,0.9371121775108693
P32067,0.6783419094085643
O35744,-0.15764963114544003
P61202,0.4592041381558198
Q922F4,0.43545069829301714
Q9EPU0,0.4123503431490049
Q9Z2M7,1.2590709989241726
P97825,0.16185266911279508
Q91W50,0.12630143941207073
P51150,0.7281138602050847
Q9EQ80,0.445519864901387
P62751,1.0389525923563807
Q06138,0.5005218727880323
Q9CPR4,0.7491253766002856
O89079,1.0222781823292137
P17918,0.7730826442540389
Q8C0C7,1.1714083834746971
P23591,0.9122145216178166
O88456,0.8907954939772383
E9PYI8,0.6110343104268279
Q9JI75,0.11526413156428406
Q62148,0.8827348608360776
Q4FZE8,1.2103717919248531
P26350,0.42533498285392796
P70670,0.7513405565100855
P63242,1.4276514721233993
Q8C7E4,0.6322770218469816
P61087,0.5815526514956002
O09172,0.2300443983928318
Q9QYG0,0.1357411875185153
Q921M3,0.49101963406441246
Q8BH35,0.3728197149341991
Q9R1P1,0.8635436909849139
Q6IRU2,1.023837016606628
Q9Z1D1,0.3651529434515077
O35286,0.9928911724842785
Q61655,0.39108895822224266
Q9QZ08,0.3558072708289387
Q8BVE3,0.02345448068614202
Q9WVQ5,0.644418296737133
O35841,0.5284741016651121
P63073,0.662304806671584
B1B0C7,-1.0332975395743402
Q9QWK4,-0.22073712701378612
Q9DBK7,0.30982801508238555
Q9DBG3,0.39365777139572
Q78ZA7,0.6168007118949379
O70557,1.3616125986193381
Q9CQM9,0.8997557916600242
Q91VH6,0.532146819000708
Q9D142,0.18993952759979432
Q9QXC1,0.9431441454331055
P97470,-0.4759980301065604
Q8BFY9,0.11236260613167563
P62281,0.933441625954315
Q03265,0.061986126017309066
G3X8T9,0.9834961723954071
Q64467,0.5700792043531038
Q99LB6,0.88441921269096
Q9CQ19,0.6411982684608483
O54724,0.5771274798524602
Q148R4,-1.982646280946169
P42208,0.6044558309086373
A0A494B952,0.835296845331861
P09036,-0.665543503876669
P0DOV1,0.4066283737924371
Q04857,-0.11785408016526673
Q8CG72,0.8000183278923793
P63038,0.6797751362040558
Q9DAK9,1.1456388825506245
A0A0R4J049,0.4096368461776663
P46412,1.0115797286808335
Q60631,1.2240155927706113
Q64674,0.6786215768911805
Q8VCA8,-0.13434981195791365
P61164,0.6153173437046532
Q8BTY1,0.8238300557518674
Q8VCT4,0.7864328837569863
Q8K4Z3,0.8438196366889656
Q9CQB8,0.18169866732923126
P43274,1.023864066646869
Q99KP3,0.5288947733031002
Q07235,0.26212405207353107
Q7TPV4,-0.24562387110169204
P62754,0.27350184224251756
Q9CYT6,-0.17736809512507543
P62717,0.622022993422392
Q99K48,0.5123513675560488
Q62422,0.10351544440586452
Q01405,0.0015032192165229624
Q6QR59,0.49262007496570165
D3YUT3,0.8010704085752585
P26231,0.24780842992716842
P54071,1.1451460362326575
Q99KH8,0.17152222527498792
Q9QY48,-0.6848189130522229
