Accession	luminal protein 2.5
Q00PI9	46758198.22
O70475	7450982.563
Q61646	7580669.813
A2AN08	11631319.93
P54775	53464290.31
Q9R111	16758405.44
Q6PGH2	11775205.41
P28474	117615613.5
Q8QZY1	12903484.45
Q7TNC4	18000439.06
P99029	56382105.53
O55222	20125173.16
Q8BJW6	3085478.438
Q61730	10723425.25
O35381	44812497.23
A3KMP2	583655492.3
P14148	62843640.67
P06281	6720681.406
Q9WVK4	42181312.72
O35215	42516316.44
Q62167	30878350.78
Q6P5F9	16192175.48
Q9D1P4	9132591
Q91YR1	20681194.92
A0A0R4J093	40560635.27
Q6AW46	3143811.625
P24547	8593057
Q9CX80	18774067.31
O09061	41958865.89
P47963	27831692.89
Q9CRB6	82011470.33
Q6IFX2	430685012.6
A0A0A6YXW6	3576082.156
Q9CR16	21855147.25
Q61247	45851044.05
P63001	259731028.8
Q9QZD9	22730537.34
Q8K354	19092328.73
P60229	37169180.22
Q924M7	9063833.688
Q09098	52280703.16
P04104	1454931420
Q6P069	50606726
Q6PDM2	43815113.56
Q9CZ30	16147576.94
P31725	27834921.89
Q9CT10	8321768.516
P11087	5276954.25
P24472	128225696.1
F8WJK8	89326689.1
P09528	40587767.99
P35235	29538595.47
A0A0G2JFY5	8467520.156
Q02819	9389444.094
D3YWF6	29877571.08
P06797	4583943
Q9DCN2	31332589.63
Q9DBE0	57192858.66
Q99J09	4977356.27
P54822	13014282.41
Q61704	3819516.313
A0A3B2WDD2	32696950.97
P61205	33166939
A0A1W2P7A1	54312396.88
Q9D8U8	41476210.97
Q8C0L6	1384608.219
G5E895	7723363.391
Q8VDN2	5945071.813
Q9CPW4	21398034.88
Q61081	13922186.12
F8WID5	132918053.4
P07310	17009394.97
Q9JMH6	19008794.72
Q9DCJ9	35460821.81
Q8C845	24805098.34
Q9DBB9	13790366.78
O88487	14694900.59
P97855	6204738.559
Q8CFG9	11793982.78
P63037	6130185.938
Q9CXW3	14067798.22
Q6P8X1	13852447.11
O55234	17832633.22
Q9DBG5	11719995.06
P47738	9419401.391
Q9DBR7	13682789.34
Q8R1Q8	12812572.91
P10630	17192362.91
P62814	26044144.71
Q9CQ60	31748560.14
P53810	33801803.14
P61222	6920417.219
P10711	10088596.69
P35564	4837439.25
Q60598	25956581.34
Q8VCC9	1515239.5
Q9WVE8	24894643.91
Q8K157	78549762.3
O09159	1747755.688
E9PVA8	6253297.1
O88851	27345051.88
Q61635	7604927.844
P54923	15164417.38
P14152	213185916.3
Q91YR9	39187121.34
P05784	197360185.9
P70698	2195096.719
Q6DYE8	5580356.156
P17427	7368470.07
Q8BWY3	13772451.09
Q8CAA7	8056355.156
Q3B7Z2	4137219.172
Q62426	81080436.67
O55131	5902806.703
Q8BML9	103685661
P26262	21311506.47
P24288	32311773.77
Q9WUA2	11845968
P97298	20608331.83
P01898	12485897.31
Q810B6	3394537.422
P63028	17954228.91
Q68FL4	19273237.86
Q8BX70	10494957.09
P14869	38857835.23
Q8BTZ7	14930512.2
Q8BJU0	10445213.14
Q9JL35	8728713.563
Q9JLI8	7005683.938
Q99KB8	4442895.719
Q8BUV3	5991225.172
Q8K010	10784416.21
A7ISP9	31948776.6
P28352	34978150.46
Q6NSR8	18743298.77
P47911	47118431.75
Q8BTS3	6009086.078
P26043	19983301.84
Q9CY64	15234517.05
O70435	48289119.95
P19973	13030494.45
K3W4L3	16665467.22
O08804	8423083.406
Q07456	7739223.828
P08607	5999725.5
Q91V41	11294070.66
P35980	20458313.19
Q99LD4	9682311.297
P15947	1111290.25
P50404	32808307.63
Q9R0Y5	22688898.63
P56480	1643138.25
Q9DAR7	13256699.57
Q3TML0	20351664.56
P17710	4266168.07
Q91XV3	4568415.063
O88685	11452746.7
Q61074	9070335.438
Q80W21	26179608
Q923D2	27351299.95
P17156	18642326.95
P04117	95261158.84
Q9CR00	7410592.109
Q8C7R4	32294447.54
Q9WTQ5	16771568.78
Q62219	52825824.47
Q9R069	4874398.594
P24270	19253960.16
Q8VDK1	4730887.25
Q922H4	2947957.875
P30681	59027717.19
Q9Z2U0	61066249.69
Q61990	4393930.156
Q9CQC6	32399649.16
Q921F4	14021868.34
Q9Z2N8	3173293.906
Q3TTY5	1171568788
P42227	5999428.625
O88958	7222437.313
Q99LB4	32073878.86
P62827	85921751.28
Q6P1F6	7531343.703
Q6S9I3	8263003
Q8BU85	9950077.5
G3UZ26	7356313.313
Q8BHG1	17573539.69
Q8R050	26076972.76
Q8CG76	19850777.67
F6ZHD8	9425398.203
Q8BGD9	11639032.16
O35887	367330.5313
E9Q414	162034926.1
Q8BZW8	6540242.844
P51885	45816429.84
Q9WUM3	25884183
Q64726	13274813.59
Q99MD9	8337430.906
Q4VAA2	4260981
Q91Z53	18556117.91
P01869	39168977.13
Q9WVJ2	13072784.66
Q9CY58	21923462.07
Q9JIF0	16351147
Q9QUM9	53686863.23
Q62446	10223890.5
F7CUP3	8184287.875
P29788	11711910.88
P70372	10301268.09
A0A1L1STE4	10430211.79
Q91V76	15149086.92
P00493	17851412.94
Q9CYR6	13488797.97
Q3TW96	8382440
Q9QXT0	4399817
P26369	4396696.625
Q9R0P9	8671003.438
G3X9Z5	464359.0781
P22599	360002161.3
Q05BC3	16414825.22
Q6Q899	8500721.359
P34022	33655296.03
P32067	16855740.52
O35744	2276244.156
P61202	5798665.969
Q922F4	14217365.42
Q9EPU0	13343355.12
Q9Z2M7	59608902.8
P97825	5543597.625
Q91W50	6424550.008
P51150	19133717.38
Q9EQ80	7115910.625
P62751	26027598.97
Q06138	11378905.67
Q9CPR4	21520463.76
O89079	39776069.5
P17918	22296357.88
Q8C0C7	63304535.88
P23591	21327666.56
O88456	30426789.93
E9PYI8	12097312.09
Q9JI75	5232600.25
Q62148	20709291.97
Q4FZE8	23251011.39
P26350	15696791.63
P70670	15323199.28
P63242	57613105.06
Q8C7E4	14925589.47
P61087	11630478.53
O09172	8595428.203
Q9QYG0	3533270.063
Q921M3	6799181.672
Q8BH35	9769838.438
Q9R1P1	14967691.58
Q6IRU2	40628288.25
Q9Z1D1	9016914.063
O35286	23921456.8
Q61655	9653797.859
Q9QZ08	7316518.063
Q8BVE3	4060937.75
Q9WVQ5	13920112.31
O35841	12398270.31
P63073	16818553.02
B1B0C7	2801050.957
Q9QWK4	5950897.5
Q9DBK7	10994769.67
Q9DBG3	10142835.3
Q78ZA7	14196434.75
O70557	66383783.58
Q9CQM9	23852008.7
Q91VH6	10811531.3
Q9D142	4430294.219
Q9QXC1	35023700.5
P97470	1328840.281
Q8BFY9	4241610.156
P62281	22719945.83
Q03265	738301.4688
G3X8T9	24861335.44
Q64467	17577403.08
Q99LB6	11302092.23
Q9CQ19	18473937.28
O54724	23330620.84
Q148R4	NA
P42208	16247571.97
A0A494B952	32547787.09
P09036	1655809.688
P0DOV1	10075315.58
Q04857	1927857.016
Q8CG72	28748176.42
P63038	11105296.44
Q9DAK9	59624269.31
A0A0R4J049	4484661.266
P46412	26523404.44
Q60631	71993595.03
P00683	NA
Q64674	14334270.36
Q8VCA8	5171830.5
P61164	8221061.75
Q8BTY1	17432283.91
Q8VCT4	16804632.69
Q8K4Z3	21035622.08
Q9CQB8	13502360.01
P43274	31399428.44
Q99KP3	14804556.44
Q07235	1183122
Q7TPV4	4637505.781
P62754	9684502.25
Q9CYT6	5308267
P62717	13976234.88
Q99K48	11959173.75
Q62422	4502613.805
Q01405	2496170.531
Q6QR59	18505231.63
D3YUT3	14074402.64
P26231	6173661.813
P54071	52590930.63
Q99KH8	5097794.906
Q9QY48	328154.4063
Q9DCC4	21414034.13
Q9CRB1	6412350.984
Q99L45	7207552.375
P70271	10387703.72
Q9WUK2	33697354.41
Q8CAY6	9315324.234
Q62093	25128901.72
Q9CQV8	120354055.3
E0CXN5	30713398.75
P54823	4641942.125
Q9DCV7	23291966.31
P32848	238462804.1
Q9JMD3	197352662.5
G3UXL2	40702438.03
Q6P1B9	6555299.438
Q9JLQ0	3669443.047
Q9WVJ3	3659752.875
Q99J36	6760377.219
Q9R1P0	37707668.63
P47713	6765776.465
Q9WTI7	5756058.438
P62911	6474499.125
Q9Z0J0	15480624.25
Q9DCT1	10173518.48
P62270	33586069.28
Q9CPU0	35354561.84
A0A0A6YW77	15922662.98
Q8C0E2	3915841.406
P97461	5766491.203
E9QP62	6444581.031
Q8R0A5	66359894.29
Q8C0M9	6655850.891
Q60967	6943586.281
P62264	29069680.91
P40336	2344819.234
P35979	22313139.53
P43276	6523650
Q9WTX5	16572888.67
Q8BG13	13220902.97
Q3UP87	1892162.313
G3X8T3	1949725.766
P58389	11746973.33
Q9R1T2	12079551.25
O35295	14563729.29
P45591	20452061.66
