Accession	luminal protein estrus
Q9QZD9	15658311.88
Q8K354	11005715.84
P60229	15039066.21
Q924M7	4938292.855
Q09098	29844912.59
P04104	465991031.1
Q6P069	27900882.78
Q6PDM2	23403044.22
Q9CZ30	14173986.02
P31725	10428075.08
Q9CT10	8040254.438
P11087	2880040.859
P24472	92953920.98
F8WJK8	59904372.23
P09528	18379589.28
P35235	11984498.68
A0A0G2JFY5	4963034.859
Q02819	5579208.219
D3YWF6	17454354.17
P06797	2425507.352
Q9DCN2	30952063.61
Q9DBE0	35538207.81
Q99J09	2630904.492
P54822	9947191.391
Q61704	4881221.781
A0A3B2WDD2	28210789.85
P61205	20789984.57
A0A1W2P7A1	29681320.75
Q9D8U8	74915147.84
Q8C0L6	1187703.695
G5E895	6326152.641
Q8VDN2	4495785.727
Q9CPW4	17406226.63
Q61081	9116523.273
F8WID5	57967654.31
P07310	1319387.914
Q9JMH6	19718572.77
Q9DCJ9	5610146.063
Q8C845	19267958.47
Q9DBB9	9233615.727
O88487	9548626.813
P97855	4939596.133
Q8CFG9	5777042.141
P63037	4775163.59
Q9CXW3	10751583.13
Q6P8X1	8667925.984
O55234	12829653.76
Q9DBG5	8462150.781
P47738	9598157.93
Q9DBR7	10748659.41
Q8R1Q8	8430699.781
P10630	12015973.03
P62814	13890058.17
Q9CQ60	19554373.38
P53810	23022305.24
P61222	4202432.844
P10711	6505606.813
P35564	5568213.742
Q60598	11928491.4
Q8VCC9	4013131.641
Q9WVE8	10603221.98
Q8K157	77082626.69
O09159	1111006.172
E9PVA8	4791864.477
O88851	15348280.13
Q61635	5412649.453
P54923	12368008.57
P14152	160092008
Q91YR9	24473287.78
P05784	61941154.78
P70698	2437257.711
Q6DYE8	562895.1094
P17427	4587805.43
Q8BWY3	11013057.72
Q8CAA7	3957685.156
Q3B7Z2	2653899.953
Q62426	52637769.84
O55131	2794716.25
Q8BML9	30451541.15
P26262	9151151.219
P24288	29304411.97
Q9WUA2	9598006.375
P97298	19296849.86
P01898	4519292.656
Q810B6	2852522.359
P63028	8543384.266
Q68FL4	20140290.62
Q8BX70	8265192.797
